book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
[英] 吉米·哈利,https://book.douban.com/subject/10519369/,2012-3,中国城市出版社,762人评价,9.4,https://img1.doubanio.com/lpic/s8869768.jpg,万物生光辉
(巴西)若泽•毛罗•德瓦斯康塞洛斯,https://book.douban.com/subject/4826530/,2010年6月,天天出版社,2918人评价,9.1,https://img1.doubanio.com/lpic/s4386309.jpg,我亲爱的甜橙树
(美)马里奥·普佐,https://book.douban.com/subject/25762009/,2014-4-1,江苏文艺出版社,6636人评价,9.1,https://img3.doubanio.com/lpic/s27227804.jpg,教父
罗伯特·麦基,https://book.douban.com/subject/25976544/,2014-9-1,天津人民出版社,2540人评价,9.2,https://img1.doubanio.com/lpic/s27598249.jpg,故事
(意)卡尔维诺,https://book.douban.com/subject/6789605/,2012-4,译林出版社,9096人评价,9.0,https://img1.doubanio.com/lpic/s8972078.jpg,树上的男爵
盐野七生,https://book.douban.com/subject/7064370/,2011-12,中信出版社,1812人评价,9.2,https://img1.doubanio.com/lpic/s7019107.jpg,罗马人的故事2
(法)儒勒·凡尔纳,https://book.douban.com/subject/2215160/,1979,中国青年出版社,2446人评价,9.2,https://img1.doubanio.com/lpic/s2660498.jpg,神秘岛（全三册）
阿加莎・克里斯蒂,https://book.douban.com/subject/1215310/,1998-10-1,贵州人民出版社,1508人评价,9.0,https://img1.doubanio.com/lpic/s26384097.jpg,罗杰・艾克罗伊德谋杀案
萧红,https://book.douban.com/subject/1136074/,2003-01-01,中国青年出版社,1494人评价,9.0,https://img3.doubanio.com/lpic/s1934734.jpg,呼兰河传
白先勇,https://book.douban.com/subject/5337254/,2010.10,广西师范大学出版社,4635人评价,9.0,https://img3.doubanio.com/lpic/s6240330.jpg,孽子
章詒和,https://book.douban.com/subject/4315361/,2004-3-1,牛津大學出版社,2457人评价,9.0,https://img3.doubanio.com/lpic/s7048971.jpg,最後的貴族
木心,https://book.douban.com/subject/3339812/,2009-1,广西师范大学出版社,1663人评价,9.3,https://img1.doubanio.com/lpic/s6497767.jpg,木心作品八种
史铁生,https://book.douban.com/subject/1311280/,2005-4,百花文艺出版社,2634人评价,9.0,https://img3.doubanio.com/lpic/s1319265.jpg,灵魂的事
[英] 吉米·哈利,https://book.douban.com/subject/4882023/,2010-7,中国城市出版社,2490人评价,9.2,https://img3.doubanio.com/lpic/s4404535.jpg,万物既聪慧又奇妙
[法] 阿尔贝·加缪,https://book.douban.com/subject/4908885/,2010-9,上海译文出版社,22022人评价,9.0,https://img3.doubanio.com/lpic/s4468484.jpg,局外人
[德]赫尔曼·黑塞,https://book.douban.com/subject/4908883/,2010.9,上海译文出版社,2410人评价,9.0,https://img3.doubanio.com/lpic/s4477292.jpg,荒原狼
(奥)劳伦兹,https://book.douban.com/subject/1024846/,1998-07-01,中国和平出版社,1220人评价,9.2,https://img3.doubanio.com/lpic/s1032614.jpg,所罗门王的指环
一行禅师,https://book.douban.com/subject/2122992/,2007-6,线装书局,1178人评价,9.0,https://img1.doubanio.com/lpic/s4051707.jpg,故道白云
冯友兰,https://book.douban.com/subject/3410709/,2009-5,生活·读书·新知三联书店,1780人评价,9.2,https://img3.doubanio.com/lpic/s3825683.jpg,中国哲学简史
（美）保罗·萨缪尔森,https://book.douban.com/subject/2983683/,2008-1-1,人民邮电出版社,1101人评价,9.3,https://img5.doubanio.com/lpic/s3297116.jpg,经济学
[美] 查尔斯·舒尔茨,https://book.douban.com/subject/1016845/,2001-1,希望出版社,1661人评价,9.1,https://img3.doubanio.com/lpic/s1913020.jpg,史努比黄金50年
鲁兵主编,https://book.douban.com/subject/1483522/,1981-04,少年儿童出版社,4593人评价,9.2,https://img5.doubanio.com/lpic/s11191366.jpg,365夜
刘义庆,https://book.douban.com/subject/2281861/,2007-9,中华书局,1174人评价,9.0,https://img3.doubanio.com/lpic/s23925082.jpg,世说新语
[美] 艾萨克·阿西莫夫,https://book.douban.com/subject/10604915/,2012-7,江苏文艺出版社,3331人评价,9.2,https://img3.doubanio.com/lpic/s10393872.jpg,银河帝国3：第二基地
Peter Van Der Linden,https://book.douban.com/subject/2377310/,2008-2,人民邮电出版社,1722人评价,9.2,https://img5.doubanio.com/lpic/s5886086.jpg,C专家编程
W.Richard Stevens,https://book.douban.com/subject/1088054/,2000-4-1,机械工业出版社,1782人评价,9.2,https://img5.doubanio.com/lpic/s1543906.jpg,TCP/IP详解 卷1：协议
（美）艾萨克·阿西莫夫,https://book.douban.com/subject/1258488/,2005-01,天地出版社,2402人评价,9.0,https://img3.doubanio.com/lpic/s3001864.jpg,基地前传2·迈向基地（上下）
