id,"name","department","alias","symptom","bodypart","prone_group","related_ill","definition","etiology","clinical_feature",search_index
1,"阴茎阴囊象皮肿","泌尿外科","阴茎阴囊橡皮肿","阴囊肿大,高热,皮肤粗糙,腹股沟淋巴结肿,寒战","臀部","暂无","阴囊坏疽,阴囊湿疹","阴茎阴囊象皮肿是晚期丝虫病最突出的表现，大多由班氏丝虫所引起。由于淋巴管炎症、阻塞、破裂，皮肤、皮下组织增生变厚而形成象皮肿。当继发链球菌感染时，可使病变进一步加重。",NULL,NULL,0
2,"肛廔","肛肠科","痔廔","瘙痒,脓性分泌物,肛门疼痛,消瘦,结节,发炎","臀部","暂无","疣,肛周脓肿,内痔,肛门直肠周围脓,肛瘘,贫血,尖锐湿疣,痔疮,脓肿","肛廔是肛门直肠周围脓肿溃后，脓水淋漓，久不收口，形成慢性廔管的疾病。又名痔廔、廔疮。一般由原发性内口、管道和继发性外口组成。“廔管”，是指两个开口之间的通道，而肛门廔管其管道的内口在肛门直肠内，外口发生在肛门周围。很多人有个错误的观念，误认为廔管是因为痔疮",NULL,NULL,0
3,"下部附加前根脊髓动脉缺血症候群","血管外科","no","大小便失禁,感觉障碍","臀部","暂无","脊髓缺血,瘫痪","下部附加前根脊髓动脉起自髂内动脉第1分支——髂腰动脉的腰支，故又称为下部附加根动脉，主要构成骶3节段以下脊髓的血供，亦可能参与腰段大根动脉的组成。",NULL,NULL,0
4,"髂腹股沟神经干痛","疼痛科","no","no","臀部","暂无","术后疼痛,腹股沟疼痛,下肢神经性疼痛","临床上较为多见，且80%以上属医源性，多发生在与该神经有关的手术后，尤以髂骨取骨术后为多见，甚至有的患者认为其疼痛比原发病更难以忍受，应引起注意。该神经起源于腰1脊神经，在髂腹下神经的下方与其平行走行。出腰大肌外缘后越过腰方肌前达髂前上棘内侧，并穿过腹横肌",NULL,NULL,0
5,"直肠膨出","妇科","阴道后壁膨出","便血,直肠疼痛,排便困难,痉挛性便秘","臀部","暂无","便血,肠梗阻,耻骨直肠肌综合,直肠内套叠,直肠癌,便秘","直肠膨出是出口梗阻性便秘的一种特殊类型。是因直肠前壁、直肠阴道间隔和阴道后壁薄弱，向前突入阴道穹隆，改变了排便时腹内压作用的方向，导致排便过程中出来直肠肛管功能性梗阻，并由此引起排便困难和便秘等症状。出口性梗阻型便秘，又称功能性出口梗",NULL,NULL,0
6,"先天性睾丸发育不全","内分泌科","克兰费尔特综合征","睾丸微小,无胡须腋毛和阴,阴茎短,男子性功能障碍,精子稀少,睾丸发育不全,乳房肥大","臀部","暂无","男性不育,染色体异常伴发,男假两性畸形,睾丸女性化,小儿肢端肥大症","本症又称曲细精管发育不全或原发小睾丸症或Klinefelter综合征。1942年由Klinefelter、Reifenstein及Albright描述，其特点是睾丸小、无精子及尿中促性腺激素增高等。1959年Ja",NULL,NULL,0
7,"膀胱尿道异物","泌尿外科","no","尿失禁,膀胱刺激征,膀胱刺激症,尿频,排尿障碍,脓尿,尿道结节,尿痛,尿急","臀部","暂无","尿失禁,膀胱肿瘤,膀胱结石,膀胱炎,脓肿","泌尿系统上尿路异物较少，下尿路较多见。下尿路异物又可分为膀胱异物和尿道异物。一般为枪伤及其他穿透伤后遗留的金属或木质异物，也可人为因素造成，如手术后遗留的不吸收缝线，从尿道外口插入的电线、塑料丝、圆珠笔芯、发夹等。异物在膀胱内停留的时间可长可短，最长可达数",NULL,NULL,0
8,"运动员胸背与腰背痛","骨科","no","腰背痛,背痛,被迫体位","臀部","暂无","急性腰扭伤,肌肉肌腱单位的,胸椎间盘突出症,腰肌劳损,腰椎间盘突出","胸背与腰背痛是青壮年以上人群中的常见疾患，尤其是在工业高度发展的国家，其发生率可高达20%以上。在涉及胸背与腰背痛的评估、预防和治疗之前，首要的重点应放在弄清楚造成症状的原因上。前面几节已对其他原因的肩、颈、腰背部疼痛进行了全面阐述。但对运动员来讲，其病因",NULL,NULL,0
9,"婴儿臀部肉芽肿","皮肤科","no","no","臀部","暂无","肉芽肿,结节","婴儿臀部肉芽肿于1971年首先由Tappeiner等报道。",NULL,NULL,0
10,"肛周湿疹","皮肤科","no","血痂,脓疱,瘙痒,鳞屑,结痂,斑丘疹,肛周皮肤潮红,肛周皮肤有湿疹,肛门湿疹瘙痒,鳞屑样痂皮","臀部","暂无","湿疹,肛门周围癌,肛管癌,肛管直肠周围脓,肛瘘","肛周湿疹是一种常见的非传染性皮肤病，病变多局限于肛门周围皮肤，亦偶有蔓延至臀部、会阴及阴蒂，局部可出现红疹、红斑、糜烂、渗出、结痂、脱屑。病程长，肛门周围皮肤常增厚，颜色灰白或暗红、粗糙，以致发生皲裂、渗出、瘙痒、反复发作为主要特点，任何年龄均可发病。",NULL,NULL,903
